"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":4204.094999993686},{""page_index"":1,""viewing_time"":1566.625000035856},{""page_index"":2,""viewing_time"":1176.3049999717623},{""page_index"":3,""viewing_time"":936.2250000122003},{""page_index"":4,""viewing_time"":775.9499999810942},{""page_index"":5,""viewing_time"":607.8850000048988},{""page_index"":6,""viewing_time"":1863.6800000094809},{""page_index"":7,""viewing_time"":536.3999999826774}]","11669.074999983422","instructions","0","11671","0.0-0.0","SS1602796859502","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":986.1550000496209},{""page_index"":1,""viewing_time"":2079.9600000027567},{""page_index"":2,""viewing_time"":1312.0349999517202}]","4378.599999996368","instructions","1","16054","0.0-1.0","SS1602796859502","","","","","","","","","","","","","","","","",""
"","2120.4199999920093","practice-block","2","18381","0.0-2.0","SS1602796859502","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2320.4199999920093","","","","","",""
"","null","html-keyboard-response","3","19193","0.0-3.0","SS1602796859502","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","383.92500003101304","practice-block","4","19783","0.0-4.0","SS1602796859502","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","583.925000031013","","","","","",""
"","null","html-keyboard-response","5","20644","0.0-5.0","SS1602796859502","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","487.0050000026822","practice-block","6","21338","0.0-6.0","SS1602796859502","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","687.0050000026822","","","","","",""
"","null","html-keyboard-response","7","22459","0.0-7.0","SS1602796859502","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","3632.084999990184","practice-block","8","26298","0.0-8.0-0.0","SS1602796859502","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","3832.084999990184","yes","365.1850000023842","","","",""
"","null","html-keyboard-response","9","27164","0.0-9.0","SS1602796859502","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
