subject,block,block_number,trial_stimulus_path,trial_stimulus_type,trial_stimulus_complexity,trial_looking_time,trial_pressed_space_bar,trial_space_bar_rt,demog_age,demog_ethnicity,demog_gender,demog_education,total_trial_num,block_trial_num
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,900.154999998631,no,NA,31,Black or African American,Female,High school diploma,1,1
SS1603399414985,mixed_simple_deviant,0,images/simple/15.png,deviant,simple,754.6449999965262,no,NA,31,Black or African American,Female,High school diploma,2,2
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,4004.485000000568,no,NA,31,Black or African American,Female,High school diploma,3,3
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,1991.769999996177,no,NA,31,Black or African American,Female,High school diploma,4,4
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,348.85499999218155,no,NA,31,Black or African American,Female,High school diploma,5,5
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,370.5800000054296,no,NA,31,Black or African American,Female,High school diploma,6,6
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,368.1950000056531,no,NA,31,Black or African American,Female,High school diploma,7,7
SS1603399414985,mixed_simple_deviant,0,images/simple/17.png,deviant,simple,847.8799999895273,no,NA,31,Black or African American,Female,High school diploma,8,8
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,464.1949999961071,no,NA,31,Black or African American,Female,High school diploma,9,9
SS1603399414985,mixed_simple_deviant,0,images/complex/12.png,target,complex,326.64000000222586,no,NA,31,Black or African American,Female,High school diploma,10,10
SS1603399414985,mixed_simple_deviant,0,images/complex/12.png,target,complex,3074.145000008866,yes,802.0550000073854,31,Black or African American,Female,High school diploma,11,11
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,563.6150000093039,no,NA,31,Black or African American,Female,High school diploma,12,12
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,393.1999999942491,no,NA,31,Black or African American,Female,High school diploma,13,13
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,396.9450000033248,no,NA,31,Black or African American,Female,High school diploma,14,14
SS1603399414985,mixed_simple_deviant,0,images/complex/12.png,target,complex,388.7750000023516,no,NA,31,Black or African American,Female,High school diploma,15,15
SS1603399414985,mixed_simple_deviant,0,images/simple/16.png,deviant,simple,392.28499999735504,no,NA,31,Black or African American,Female,High school diploma,16,16
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,326.66999999783,no,NA,31,Black or African American,Female,High school diploma,17,17
SS1603399414985,mixed_simple_deviant,0,images/complex/12.png,target,complex,942.6799999957439,yes,150.4949999944074,31,Black or African American,Female,High school diploma,18,18
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,356.4500000094995,no,NA,31,Black or African American,Female,High school diploma,19,19
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,590.1600000099279,no,NA,31,Black or African American,Female,High school diploma,20,20
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,393.7199999956647,no,NA,31,Black or African American,Female,High school diploma,21,21
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,384.3900000094436,no,NA,31,Black or African American,Female,High school diploma,22,22
SS1603399414985,mixed_simple_deviant,0,images/simple/3.png,deviant,simple,429.42499999771826,no,NA,31,Black or African American,Female,High school diploma,23,23
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,427.66000000410713,no,NA,31,Black or African American,Female,High school diploma,24,24
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,371.9450000091456,no,NA,31,Black or African American,Female,High school diploma,25,25
SS1603399414985,mixed_simple_deviant,0,images/complex/12.png,target,complex,925.0700000004144,yes,283.68500000215136,31,Black or African American,Female,High school diploma,26,26
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,326.99000000429805,no,NA,31,Black or African American,Female,High school diploma,27,27
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,389.1800000012154,no,NA,31,Black or African American,Female,High school diploma,28,28
SS1603399414985,mixed_simple_deviant,0,images/simple/18.png,deviant,simple,349.40999999816995,no,NA,31,Black or African American,Female,High school diploma,29,29
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,578.7999999913154,no,NA,31,Black or African American,Female,High school diploma,30,30
SS1603399414985,mixed_simple_deviant,0,images/complex/11.png,background,complex,468.9350000000559,no,NA,31,Black or African American,Female,High school diploma,31,31
