subject,block,block_number,trial_stimulus_path,trial_stimulus_type,trial_stimulus_complexity,trial_looking_time,trial_pressed_space_bar,trial_space_bar_rt,demog_age,demog_ethnicity,demog_gender,demog_education,trial_num
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,1525.5199999548495,no,NA,20,Asian,Female,High school diploma,1
SS1602796859502,mixed_complex_deviant,0,images/complex/8.png,deviant,complex,774.010000040289,no,NA,20,Asian,Female,High school diploma,2
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,638.7900000438094,no,NA,20,Asian,Female,High school diploma,3
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,443.2849999750033,no,NA,20,Asian,Female,High school diploma,4
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,555.0850000465289,no,NA,20,Asian,Female,High school diploma,5
SS1602796859502,mixed_complex_deviant,0,images/complex/7.png,deviant,complex,1975.0850000302307,no,NA,20,Asian,Female,High school diploma,6
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,1584.8349999752827,no,NA,20,Asian,Female,High school diploma,7
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,694.8300000396557,no,NA,20,Asian,Female,High school diploma,8
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,671.6799999587238,no,NA,20,Asian,Female,High school diploma,9
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,871.6799999703653,no,NA,20,Asian,Female,High school diploma,10
SS1602796859502,mixed_complex_deviant,0,images/simple/10.png,target,simple,2046.19000001112,yes,901.9599999883212,20,Asian,Female,High school diploma,11
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,722.3400000249967,no,NA,20,Asian,Female,High school diploma,12
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,576.33500003721565,no,NA,20,Asian,Female,High school diploma,13
SS1602796859502,mixed_complex_deviant,0,images/complex/17.png,deviant,complex,728.2699999515899,no,NA,20,Asian,Female,High school diploma,14
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,695.7100000465289,no,NA,20,Asian,Female,High school diploma,15
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,804.894999996759,no,NA,20,Asian,Female,High school diploma,16
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,623.8750000367872,no,NA,20,Asian,Female,High school diploma,17
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,661.1000000149943,no,NA,20,Asian,Female,High school diploma,18
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,597.2150000045076,no,NA,20,Asian,Female,High school diploma,19
SS1602796859502,mixed_complex_deviant,0,images/simple/10.png,target,simple,946.3050000369549,no,NA,20,Asian,Female,High school diploma,20
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,602.0100000197999,no,NA,20,Asian,Female,High school diploma,21
SS1602796859502,mixed_complex_deviant,0,images/complex/4.png,deviant,complex,635.3700000210665,no,NA,20,Asian,Female,High school diploma,22
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,446.93500000284985,no,NA,20,Asian,Female,High school diploma,23
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,522.0699999947101,no,NA,20,Asian,Female,High school diploma,24
SS1602796859502,mixed_complex_deviant,0,images/simple/10.png,target,simple,1531.0200000414625,yes,549.0700000082143,20,Asian,Female,High school diploma,25
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,663.1950000184588,no,NA,20,Asian,Female,High school diploma,26
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,523.9649999886751,no,NA,20,Asian,Female,High school diploma,27
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,674.4150000042282,no,NA,20,Asian,Female,High school diploma,28
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,676.4450000366196,no,NA,20,Asian,Female,High school diploma,29
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,618.2349999900907,no,NA,20,Asian,Female,High school diploma,30
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,493.23999996995553,no,NA,20,Asian,Female,High school diploma,31
SS1602796859502,mixed_complex_deviant,0,images/complex/14.png,deviant,complex,670.450000022538,no,NA,20,Asian,Female,High school diploma,32
SS1602796859502,mixed_complex_deviant,0,images/simple/13.png,background,simple,617.6950000110082,no,NA,20,Asian,Female,High school diploma,33
