"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type"
"[{""page_index"":0,""viewing_time"":1232.5799999816809}]","1232.9249999893364","instructions","0","1254","0.0-0.0","SS1604514193431","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1037.354999978561},{""page_index"":1,""viewing_time"":328.13000000896864},{""page_index"":2,""viewing_time"":184.36499999370426},{""page_index"":3,""viewing_time"":184.00500001735054},{""page_index"":4,""viewing_time"":183.3199999819044},{""page_index"":5,""viewing_time"":185.33500001649372},{""page_index"":6,""viewing_time"":183.5949999804143},{""page_index"":7,""viewing_time"":230.86000001057982},{""page_index"":8,""viewing_time"":208.0300000088755}]","2725.1699999906123","instructions","1","3982","0.0-1.0","SS1604514193431","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":935.2200000139419},{""page_index"":1,""viewing_time"":1368.6299999826588},{""page_index"":2,""viewing_time"":1279.3900000106078}]","3583.4449999965727","instructions","2","7566","0.0-2.0","SS1604514193431","","","","","","","","","","","","","","",""
"","3269.0950000251178","practice-block","3","11043","0.0-3.0","SS1604514193431","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","3469.0950000251178","","","",""
"","null","html-keyboard-response","4","12265","0.0-4.0","SS1604514193431","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","98.92499999841675","practice-block","5","12569","0.0-5.0","SS1604514193431","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","298.92499999841675","","","",""
"","null","html-keyboard-response","6","13810","0.0-6.0","SS1604514193431","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","33.50499999942258","practice-block","7","14047","0.0-7.0","SS1604514193431","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","233.50499999942258","","","",""
"","null","html-keyboard-response","8","15053","0.0-8.0","SS1604514193431","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","81.37500000884756","practice-block","9","17760","0.0-9.0-0.0","SS1604514193431","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","281.37500000884756","","","",""
"","3391.059999994468","practice-block","10","21354","0.0-9.1-0.1","SS1604514193431","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","3591.059999994468","yes","284.6500000159722","",""
"","null","html-keyboard-response","11","22490","0.0-10.0","SS1604514193431","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","82.23500000895001","practice-block","12","22776","0.0-11.0","SS1604514193431","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","282.23500000895","","","",""
"[{""page_index"":0,""viewing_time"":2101}]","2102","task-instructions","13","24880","0.0-12.0","SS1604514193431","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1164.7900000098161},{""page_index"":1,""viewing_time"":1080.6500000180677},{""page_index"":2,""viewing_time"":799.8949999746401}]","3045.495000027586","instructions","14","27926","0.0-13.0","SS1604514193431","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","15","28815","0.0-14.0-0.0","SS1604514193431","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
"","706.8000000144821","stimulus-presentation","16","29731","0.0-14.0-1.0","SS1604514193431","<img src='images/complex/4.png' width ='500' height = '500' style='border:5px solid black'>","40","mixed_simple_deviant","images/complex/13.png","images/complex/4.png","images/simple/18.png,images/simple/8.png,images/simple/10.png,images/simple/1.png,images/simple/3.png,images/simple/17.png,images/simple/6.png","0","null","","200","906.8000000144821","","","","background"
"","null","html-keyboard-response","17","30759","0.0-14.0-0.1","SS1604514193431","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">",""
