"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","task_type","task_target_stimulus","task_background_stimulus","task_deviant_stimuli","task_order_number","block_order_number","trial_order_number","minimum_viewing_duration","trial_looking_time","trial_pressed_space_bar","trial_space_bar_rt","stimulus","trial_stimulus_type","responses","question_order"
"[{""page_index"":0,""viewing_time"":3869.8549999971874}]","3870.100000000093","instructions","0","3885","0.0-0.0","SS1604514246150","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6938.865000003716},{""page_index"":1,""viewing_time"":1386.8950000032783},{""page_index"":0,""viewing_time"":3100.2100000041537},{""page_index"":1,""viewing_time"":4574.764999997569},{""page_index"":2,""viewing_time"":5134.229999996023},{""page_index"":3,""viewing_time"":5594.805000000633},{""page_index"":4,""viewing_time"":3774.9999999941792},{""page_index"":5,""viewing_time"":5990.970000013476},{""page_index"":6,""viewing_time"":1913.7850000115577},{""page_index"":7,""viewing_time"":6234.6249999827705},{""page_index"":8,""viewing_time"":3129.2799999937415}]","47773.695000010775","instructions","1","51659","0.0-1.0","SS1604514246150","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2377.749999985099},{""page_index"":1,""viewing_time"":4302.155000012135},{""page_index"":2,""viewing_time"":1632.4800000002142}]","8312.644999998156","instructions","2","59973","0.0-2.0","SS1604514246150","","","","","","","","","","","","","","","","",""
"","1265.9250000142492","practice-block","3","61442","0.0-3.0","SS1604514246150","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","1465.9250000142492","","","","","",""
"","null","html-keyboard-response","4","62730","0.0-4.0","SS1604514246150","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","366.1900000006426","practice-block","5","63298","0.0-5.0","SS1604514246150","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","566.1900000006426","","","","","",""
"","null","html-keyboard-response","6","64308","0.0-6.0","SS1604514246150","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","114.54999999841675","practice-block","7","64624","0.0-7.0","SS1604514246150","<img src='images/practice/practice_deviant.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","314.54999999841675","","","","","",""
"","null","html-keyboard-response","8","65863","0.0-8.0","SS1604514246150","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","2425.5899999989197","practice-block","9","68491","0.0-9.0-0.0","SS1604514246150","<img src='images/practice/practice_target.jpg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","2625.5899999989197","yes","199.8850000090897","","","",""
"","null","html-keyboard-response","10","69480","0.0-10.0","SS1604514246150","","null","","","","","","","","","","","","<img src=images/blank.png width =""500"" height = ""500"" style=""border:5px solid black"">","","",""
"","155.35000001545995","practice-block","11","69838","0.0-11.0","SS1604514246150","<img src='images/practice/practice_background.jpeg' width ='500' height = '500' style='border:5px solid black'>","40","null","images/practice/practice_target.jpg","null","null","null","null","","200","355.35000001545995","","","","","",""
"[{""page_index"":0,""viewing_time"":2016}]","2016","task-instructions","12","71855","0.0-12.0","SS1604514246150","","","","","","","","","","","","","","","","",""
